Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9327	1581.6	37.03	27.86
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9988.5	534.49	101.4	36.13
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9127.4	1211.6	39.04	23.19
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9327.2	1571.1	26.54	18.83
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9486.1	1459.6	77.61	31.78
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10426.5	1876.6	40.9	23.55
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9024.6	2056.3	78.89	32.29
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9791.3	520.02	21.78	17.17
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10424.3	1859.3	28.52	19.86
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9907.9	1897.2	31.62	20.78
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8656.6	1087.1	106.66	37.69
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9972.8	738.51	72.64	30.67
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9772	1604.5	25.8	22.08
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10289.3	2093.7	48.23	25.08
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9869.6	648.91	38.8	24.08
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8640.1	1603.7	21.67	17.38
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8882.7	1079.6	32.52	21.62
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9432.1	2389.1	64.31	29.01
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8714.7	1306.1	64.82	29.33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8790.7	1965.7	44.41	24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9740.7	1995.6	67.39	30.31
