Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7182.8	2074.1	0.914	79.5504	32.1501	0.9671	1	11.0682	8.9447	0.3998	0.4217	0.1421	0.5827	0.0908	-0.0377	-0.0465	-0.0895	0.0262	0.0253
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7520.7	2170.6	0.9139	63.7727	29.0678	0.9485	0.9971	10.4007	8.0583	0.4984	0.5305	0.1559	0.7226	0.1083	-0.0646	-0.0691	-0.0987	-0.0041	0.0234
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7413.9	1690.3	0.9135	82.3254	32.4729	0.9811	1	10.7714	9.9098	0.4555	0.4726	0.2576	0.6296	0.0798	-0.0522	-0.0558	-0.0776	0.0085	0.018
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7552.6	916.34	0.9135	102.251	36.947	0.9413	1	13.5309	9.7071	0.5189	0.5089	0.2125	0.7541	0.0974	-0.0664	-0.0719	-0.1094	-0.0041	0.0239
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6699.8	1254	0.9132	90.7104	34.6862	0.9474	1	12.436	9.1123	0.5096	0.5478	0.1609	0.7914	0.1456	-0.0639	-0.0762	-0.1166	0.0168	0.0375
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6896.1	2124.4	0.9128	87.2533	33.7085	0.965	1	11.6227	9.6175	0.3774	0.3753	0.1105	0.7645	0.1058	-0.0419	-0.0448	-0.1258	0.0365	0.0319
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7185.7	2348	0.9128	94.2043	35.6519	0.9314	0.9979	12.7854	8.9348	0.4498	0.4831	0.0537	0.9794	0.1579	-0.0388	-0.0487	-0.1152	0.0798	0.0435
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	8062.2	1712.3	0.9126	117.4885	38.9258	0.9744	1	13.1006	11.7703	0.3853	0.3869	0.1885	0.5681	0.0707	-0.0438	-0.047	-0.0947	0.0379	0.0245
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7123.7	1229.1	0.9126	99.4755	37.3372	0.8967	0.9968	13.9406	8.7221	0.5372	0.562	0.1979	0.7617	0.1187	-0.0726	-0.0809	-0.1154	0.0193	0.0302
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7640	1984.8	0.9121	62.3077	28.7114	0.9498	1	10.0355	7.8423	0.4542	0.4763	0.181	0.6008	0.0931	-0.0431	-0.0483	-0.0963	0.0227	0.0272
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7248.8	2213.2	0.9119	49.0624	25.6697	0.9357	1	9.4068	6.954	0.4626	0.4759	0.1474	0.7074	0.1275	-0.0551	-0.0523	-0.1232	0.0211	0.0327
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7450.1	1018.7	0.9117	90.4372	35.138	0.9205	0.997	12.9397	8.6476	0.4246	0.4264	0.1942	0.6512	0.0838	-0.051	-0.0552	-0.0885	0.0041	0.0239
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7643.4	1086.3	0.9116	118.5927	39.2123	0.9692	1	13.3623	10.9295	0.4496	0.459	0.1612	0.58	0.0706	-0.0616	-0.065	-0.0951	0.0042	0.0187
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7157.9	1560.4	0.9115	93.9364	35.7665	0.9228	0.9969	13.4036	8.9058	0.5284	0.5487	0.0882	0.8466	0.2032	-0.0636	-0.0724	-0.1487	0.0506	0.0474
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7077.7	937.66	0.9114	99.3503	36.6556	0.9292	0.9984	13.4911	9.4314	0.42	0.4327	0.1985	0.6483	0.0715	-0.0402	-0.0436	-0.09	0.0232	0.0251
