Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10868.7	2007	0.9138	78.8163	31.927	0.9716	0.9982	10.8512	9.6347	0.3644	0.3767	0.1412	0.5605	0.0957	-0.0298	-0.0357	-0.0805	0.0448	0.0286
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10947.8	848.27	0.9138	93.0627	35.1195	0.9482	1	12.5117	9.1944	0.3933	0.4062	0.109	0.5668	0.086	-0.0439	-0.0509	-0.087	0.0311	0.0259
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10687	1756.4	0.9137	131.1101	41.4421	0.9593	1	14.4987	11.3769	0.4112	0.3895	0.1777	0.6834	0.1041	-0.0483	-0.0514	-0.0991	0.017	0.0239
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10648.1	2002.5	0.9137	75.2895	31.1755	0.9735	1	10.5352	9.5197	0.3509	0.3576	0.1163	0.5501	0.0851	-0.0335	-0.0414	-0.0809	0.0432	0.027
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10580.9	733.86	0.9136	93.8001	34.9278	0.9662	1	11.9702	9.8655	0.3658	0.3598	0.1834	0.5533	0.0813	-0.031	-0.0361	-0.0814	0.028	0.0241
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11082.3	1953.9	0.9135	79.5386	32.2625	0.9603	1	11.5006	8.9882	0.3786	0.3937	0.1016	0.7981	0.1125	-0.0355	-0.0412	-0.099	0.0619	0.0322
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11411.5	1943.6	0.9135	118.9277	39.2731	0.969	1	13.4005	11.5182	0.3656	0.3741	0.1611	0.529	0.0731	-0.0346	-0.036	-0.0884	0.0261	0.0206
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11350.5	1852.7	0.9134	108.826	37.5842	0.9681	1	12.7321	11.1339	0.322	0.3249	0.1524	0.4454	0.0489	-0.031	-0.0342	-0.0779	0.0201	0.0178
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10545.9	1055.8	0.9132	132.0903	41.4994	0.9638	0.9976	14.1525	11.4115	0.4308	0.4371	0.2416	0.614	0.0783	-0.054	-0.054	-0.0935	0.0098	0.0164
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10235.2	2212	0.9131	70.4421	30.4837	0.9526	0.9979	10.6223	8.0891	0.403	0.43	0.0983	0.6314	0.128	-0.0342	-0.039	-0.0886	0.0498	0.0293
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11319.8	1605.6	0.9131	121.7066	39.7233	0.9692	1	13.8426	11.2531	0.4961	0.4918	0.2058	0.8304	0.0895	-0.0654	-0.0665	-0.1238	-0.0112	0.0188
